Icon,Name,Package,Genre
https://play-lh.googleusercontent.com/POgn4x_Jrz18VxrjbZC88ijwZJwmOjs2flX1KC0Kz7IF1oncFoKOMsWfFKntJjc20BRJ=w240-h480,Calculator,"com.google.android.calculator","Tools"
https://play-lh.googleusercontent.com/q1pnafzDxfvAOhzJYj4PqYJB9PuVK9L8kisgTrb85IdzDRIK65eUDS5LlQz2f5oBUg=w240-h480,Security Hub,"com.google.android.apps.security.securityhub","Tools"
https://play-lh.googleusercontent.com/Qolm5gr9jnabjk-0z79srjYC1XPVExribNz5kbDmGJeEtmRlo0UQoQEIkKMHRyt5paw=w240-h480,YouTube for Android TV,"com.google.android.youtube.tv","Entertainment"
https://play-lh.googleusercontent.com/qonAlUqTpjH0mOG7LKUm9IRhFdtmRFuiF_Sb166VMcsCp1IgyfAMe6ThkEy1G_af7g=w240-h480,Google Local Services Ads,"com.google.android.apps.ads.homeservices","Business"
https://play-lh.googleusercontent.com/qWPdFvazDmlmJospzE3zESXvwJx7SKpgjO3BNIYyD21sfiXjsnjz8t822eBiAYWSo7Yt=w240-h480,Gmail Go,"com.google.android.gm.lite","Communication"
https://play-lh.googleusercontent.com/R-dJcIvmUhdrwD7tlR4rQ-k8fWYzfXINb2cleVYH3b0y70qcvHCl55UvuhlA_Jc4CGI=w240-h480,Toontastic 3D,"com.google.toontastic","Simulation,Casual"
https://play-lh.googleusercontent.com/RDTbzYdc5l5wR_s_WkzaGmWed7pwM8sobk1AJCBWkYWWtttLHbv4MtnXMfnaU14_1rM=w240-h480,Data Transfer Tool,"com.google.android.apps.pixelmigrate","Tools"
https://play-lh.googleusercontent.com/RE6GR9b-8K-uHuqzfGdAD1LoXqjeo5fyXqkEqB3cintVNsNy17HCtWMca2yjz6MJOxwl=w240-h480,Google Automotive App Host,"com.google.android.apps.automotive.templates.host","Tools"
https://play-lh.googleusercontent.com/rFAHXzQjUQwLH6vffa9rD_1gjH7dZykH7h6RjthsnoHTKGrJSNqTUw0D_TIQSC3ekg=w240-h480,Google Family Link,"com.google.android.apps.kids.familylink","Tools"
https://play-lh.googleusercontent.com/Rilq4obCk7XIl2Pjb8XT-Ydh_aI3hBNeFwro9fFXrIAuC-zPxCZ4feE4rx5fZ3jHNLw=w240-h480,Snapseed,"com.niksoftware.snapseed","Photography"
